carnet,nombre,carrera,departamento,promedio
EST028863,Estudiante 28863,Administracion,San Salvador,9.91
EST028864,Estudiante 28864,Ingeniería Industrial,La Libertad,6.3
EST028865,Estudiante 28865,Administracion,San Miguel,6.68
EST028866,Estudiante 28866,Arquitectura,San Salvador,7.12
EST028867,Estudiante 28867,Ingeniería de Sistemas,La Libertad,9.1
EST028868,Estudiante 28868,Contaduria,San Miguel,6.25
EST028869,Estudiante 28869,Ingeniería Industrial,Santa Ana,5.25
EST028870,Estudiante 28870,Administracion,Santa Ana,6.67
EST028871,Estudiante 28871,Ingeniería Industrial,La Libertad,8.0
EST028872,Estudiante 28872,Ingeniería Industrial,San Miguel,9.01
EST028873,Estudiante 28873,Ingeniería Industrial,San Salvador,6.4
EST028874,Estudiante 28874,Arquitectura,San Miguel,7.33
EST028875,Estudiante 28875,Ingeniería Industrial,Sonsonate,6.88
EST028876,Estudiante 28876,Ingeniería Industrial,San Miguel,8.71
EST028877,Estudiante 28877,Arquitectura,San Miguel,5.52
EST028878,Estudiante 28878,Arquitectura,Sonsonate,7.36
EST028879,Estudiante 28879,Ingeniería Industrial,Sonsonate,8.27
EST028880,Estudiante 28880,Ingeniería de Sistemas,La Libertad,7.86
EST028881,Estudiante 28881,Ingeniería Industrial,La Libertad,7.24
EST028882,Estudiante 28882,Administracion,Sonsonate,5.46
EST028883,Estudiante 28883,Ingeniería Industrial,La Libertad,5.02
EST028884,Estudiante 28884,Ingeniería Industrial,La Libertad,9.25
EST028885,Estudiante 28885,Arquitectura,San Salvador,6.18
EST028886,Estudiante 28886,Contaduria,San Miguel,6.53
EST028887,Estudiante 28887,Administracion,Santa Ana,9.72
EST028888,Estudiante 28888,Ingeniería Industrial,Santa Ana,9.61
EST028889,Estudiante 28889,Ingeniería de Sistemas,Santa Ana,5.82
EST028890,Estudiante 28890,Administracion,San Miguel,9.2
EST028891,Estudiante 28891,Administracion,San Miguel,5.7
EST028892,Estudiante 28892,Contaduria,Sonsonate,6.87
EST028893,Estudiante 28893,Ingeniería de Sistemas,La Libertad,6.65
EST028894,Estudiante 28894,Ingeniería Industrial,San Miguel,5.0
EST028895,Estudiante 28895,Administracion,Sonsonate,6.7
EST028896,Estudiante 28896,Administracion,San Miguel,5.19
EST028897,Estudiante 28897,Administracion,Santa Ana,7.42
EST028898,Estudiante 28898,Administracion,Santa Ana,9.98
EST028899,Estudiante 28899,Ingeniería Industrial,San Miguel,8.05
EST028900,Estudiante 28900,Arquitectura,Sonsonate,5.36
EST028901,Estudiante 28901,Contaduria,La Libertad,7.35
EST028902,Estudiante 28902,Ingeniería de Sistemas,La Libertad,7.41
EST028903,Estudiante 28903,Contaduria,La Libertad,6.01
EST028904,Estudiante 28904,Arquitectura,San Miguel,6.52
EST028905,Estudiante 28905,Ingeniería Industrial,Santa Ana,8.58
EST028906,Estudiante 28906,Administracion,La Libertad,6.58
EST028907,Estudiante 28907,Administracion,Sonsonate,6.14
EST028908,Estudiante 28908,Arquitectura,Sonsonate,8.55
EST028909,Estudiante 28909,Administracion,Sonsonate,5.91
EST028910,Estudiante 28910,Administracion,La Libertad,7.26
EST028911,Estudiante 28911,Arquitectura,Sonsonate,9.89
EST028912,Estudiante 28912,Arquitectura,Santa Ana,5.42
EST028913,Estudiante 28913,Arquitectura,La Libertad,5.09
EST028914,Estudiante 28914,Arquitectura,Santa Ana,6.99
EST028915,Estudiante 28915,Ingeniería de Sistemas,San Salvador,7.5
EST028916,Estudiante 28916,Administracion,San Miguel,9.6
EST028917,Estudiante 28917,Ingeniería de Sistemas,Santa Ana,9.94
EST028918,Estudiante 28918,Administracion,Santa Ana,7.77
EST028919,Estudiante 28919,Ingeniería de Sistemas,Sonsonate,7.46
EST028920,Estudiante 28920,Arquitectura,La Libertad,8.86
EST028921,Estudiante 28921,Ingeniería de Sistemas,La Libertad,5.41
EST028922,Estudiante 28922,Arquitectura,Sonsonate,9.69
EST028923,Estudiante 28923,Ingeniería Industrial,Santa Ana,6.29
EST028924,Estudiante 28924,Contaduria,Sonsonate,8.13
EST028925,Estudiante 28925,Administracion,Santa Ana,6.82
EST028926,Estudiante 28926,Arquitectura,La Libertad,7.52
EST028927,Estudiante 28927,Administracion,San Miguel,6.77
EST028928,Estudiante 28928,Ingeniería Industrial,La Libertad,8.36
EST028929,Estudiante 28929,Administracion,Sonsonate,10.0
EST028930,Estudiante 28930,Ingeniería de Sistemas,Sonsonate,6.9
EST028931,Estudiante 28931,Administracion,La Libertad,9.83
EST028932,Estudiante 28932,Ingeniería de Sistemas,San Miguel,7.88
EST028933,Estudiante 28933,Administracion,San Miguel,9.29
EST028934,Estudiante 28934,Arquitectura,San Miguel,9.87
EST028935,Estudiante 28935,Ingeniería Industrial,San Salvador,8.19
EST028936,Estudiante 28936,Contaduria,Santa Ana,7.19
EST028937,Estudiante 28937,Arquitectura,Sonsonate,7.92
EST028938,Estudiante 28938,Ingeniería de Sistemas,Santa Ana,8.56
EST028939,Estudiante 28939,Ingeniería Industrial,Santa Ana,5.86
EST028940,Estudiante 28940,Ingeniería Industrial,Sonsonate,5.05
EST028941,Estudiante 28941,Contaduria,Sonsonate,9.62
EST028942,Estudiante 28942,Contaduria,San Salvador,9.08
EST028943,Estudiante 28943,Administracion,Sonsonate,6.31
EST028944,Estudiante 28944,Ingeniería de Sistemas,Sonsonate,6.7
EST028945,Estudiante 28945,Arquitectura,San Salvador,6.0
EST028946,Estudiante 28946,Ingeniería Industrial,La Libertad,5.93
EST028947,Estudiante 28947,Ingeniería de Sistemas,Sonsonate,6.38
EST028948,Estudiante 28948,Arquitectura,La Libertad,9.14
EST028949,Estudiante 28949,Administracion,La Libertad,6.47
EST028950,Estudiante 28950,Ingeniería Industrial,San Miguel,8.18
EST028951,Estudiante 28951,Ingeniería Industrial,Santa Ana,5.48
EST028952,Estudiante 28952,Contaduria,Sonsonate,6.58
EST028953,Estudiante 28953,Arquitectura,San Miguel,5.82
EST028954,Estudiante 28954,Arquitectura,La Libertad,6.41
EST028955,Estudiante 28955,Ingeniería de Sistemas,Sonsonate,7.89
EST028956,Estudiante 28956,Ingeniería Industrial,San Salvador,5.01
EST028957,Estudiante 28957,Administracion,Sonsonate,9.73
EST028958,Estudiante 28958,Contaduria,La Libertad,5.61
EST028959,Estudiante 28959,Contaduria,San Salvador,5.69
EST028960,Estudiante 28960,Arquitectura,Sonsonate,8.64
EST028961,Estudiante 28961,Contaduria,San Salvador,5.0
EST028962,Estudiante 28962,Arquitectura,Santa Ana,8.25
EST028963,Estudiante 28963,Administracion,Santa Ana,6.34
EST028964,Estudiante 28964,Ingeniería de Sistemas,Santa Ana,9.55
EST028965,Estudiante 28965,Ingeniería de Sistemas,La Libertad,6.84
EST028966,Estudiante 28966,Ingeniería de Sistemas,La Libertad,9.35
EST028967,Estudiante 28967,Administracion,Sonsonate,6.56
EST028968,Estudiante 28968,Contaduria,Santa Ana,8.39
EST028969,Estudiante 28969,Arquitectura,San Salvador,5.02
EST028970,Estudiante 28970,Ingeniería Industrial,Santa Ana,9.02
EST028971,Estudiante 28971,Ingeniería de Sistemas,Santa Ana,5.46
EST028972,Estudiante 28972,Administracion,Sonsonate,5.09
EST028973,Estudiante 28973,Arquitectura,San Salvador,7.37
EST028974,Estudiante 28974,Ingeniería Industrial,La Libertad,7.9
EST028975,Estudiante 28975,Ingeniería Industrial,San Miguel,9.75
EST028976,Estudiante 28976,Ingeniería Industrial,San Miguel,9.19
EST028977,Estudiante 28977,Administracion,Sonsonate,5.48
EST028978,Estudiante 28978,Contaduria,Sonsonate,6.53
EST028979,Estudiante 28979,Ingeniería Industrial,San Salvador,8.54
EST028980,Estudiante 28980,Ingeniería Industrial,San Miguel,8.34
EST028981,Estudiante 28981,Administracion,Sonsonate,9.64
EST028982,Estudiante 28982,Ingeniería de Sistemas,San Miguel,8.73
EST028983,Estudiante 28983,Administracion,La Libertad,6.43
EST028984,Estudiante 28984,Arquitectura,Sonsonate,9.87
EST028985,Estudiante 28985,Ingeniería de Sistemas,La Libertad,6.77
EST028986,Estudiante 28986,Ingeniería Industrial,San Miguel,8.38
EST028987,Estudiante 28987,Arquitectura,La Libertad,7.35
EST028988,Estudiante 28988,Administracion,Santa Ana,7.49
EST028989,Estudiante 28989,Arquitectura,Santa Ana,7.66
EST028990,Estudiante 28990,Administracion,San Salvador,7.85
EST028991,Estudiante 28991,Administracion,Sonsonate,9.66
EST028992,Estudiante 28992,Contaduria,La Libertad,8.29
EST028993,Estudiante 28993,Arquitectura,Sonsonate,6.31
EST028994,Estudiante 28994,Administracion,Santa Ana,9.85
EST028995,Estudiante 28995,Contaduria,San Miguel,7.27
EST028996,Estudiante 28996,Contaduria,San Miguel,9.91
EST028997,Estudiante 28997,Arquitectura,Sonsonate,9.82
EST028998,Estudiante 28998,Ingeniería Industrial,San Salvador,9.07
EST028999,Estudiante 28999,Contaduria,La Libertad,9.27
EST029000,Estudiante 29000,Contaduria,Santa Ana,9.68
EST029001,Estudiante 29001,Administracion,Santa Ana,9.73
EST029002,Estudiante 29002,Ingeniería Industrial,Santa Ana,6.07
EST029003,Estudiante 29003,Arquitectura,La Libertad,9.01
EST029004,Estudiante 29004,Ingeniería Industrial,Sonsonate,5.08
EST029005,Estudiante 29005,Contaduria,San Miguel,7.61
EST029006,Estudiante 29006,Ingeniería de Sistemas,La Libertad,8.95
EST029007,Estudiante 29007,Ingeniería Industrial,San Salvador,7.7
EST029008,Estudiante 29008,Administracion,San Miguel,7.94
EST029009,Estudiante 29009,Ingeniería Industrial,San Miguel,8.48
EST029010,Estudiante 29010,Ingeniería Industrial,Santa Ana,5.34
EST029011,Estudiante 29011,Ingeniería Industrial,San Miguel,7.83
EST029012,Estudiante 29012,Contaduria,Santa Ana,6.48
EST029013,Estudiante 29013,Arquitectura,San Salvador,8.17
EST029014,Estudiante 29014,Arquitectura,La Libertad,9.4
EST029015,Estudiante 29015,Arquitectura,Sonsonate,7.46
EST029016,Estudiante 29016,Contaduria,Santa Ana,6.24
EST029017,Estudiante 29017,Contaduria,Santa Ana,8.78
EST029018,Estudiante 29018,Administracion,Sonsonate,7.68
EST029019,Estudiante 29019,Arquitectura,Santa Ana,8.14
EST029020,Estudiante 29020,Ingeniería de Sistemas,Santa Ana,9.68
EST029021,Estudiante 29021,Contaduria,San Miguel,8.48
EST029022,Estudiante 29022,Contaduria,San Miguel,5.84
EST029023,Estudiante 29023,Contaduria,Santa Ana,9.22
EST029024,Estudiante 29024,Arquitectura,San Miguel,9.62
EST029025,Estudiante 29025,Administracion,Sonsonate,6.61
EST029026,Estudiante 29026,Administracion,Sonsonate,7.58
EST029027,Estudiante 29027,Arquitectura,Sonsonate,7.91
EST029028,Estudiante 29028,Ingeniería de Sistemas,Sonsonate,8.27
EST029029,Estudiante 29029,Administracion,La Libertad,9.54
EST029030,Estudiante 29030,Ingeniería Industrial,San Salvador,9.39
EST029031,Estudiante 29031,Ingeniería de Sistemas,Sonsonate,5.02
EST029032,Estudiante 29032,Ingeniería de Sistemas,San Miguel,5.23
EST029033,Estudiante 29033,Arquitectura,San Miguel,5.86
EST029034,Estudiante 29034,Ingeniería Industrial,Sonsonate,7.37
EST029035,Estudiante 29035,Administracion,La Libertad,9.24
EST029036,Estudiante 29036,Ingeniería de Sistemas,Sonsonate,6.24
EST029037,Estudiante 29037,Arquitectura,San Miguel,9.29
EST029038,Estudiante 29038,Ingeniería Industrial,Sonsonate,9.95
EST029039,Estudiante 29039,Ingeniería de Sistemas,San Salvador,5.12
EST029040,Estudiante 29040,Contaduria,San Salvador,8.86
EST029041,Estudiante 29041,Contaduria,Sonsonate,6.81
EST029042,Estudiante 29042,Ingeniería de Sistemas,Sonsonate,6.27
EST029043,Estudiante 29043,Ingeniería Industrial,Santa Ana,5.17
EST029044,Estudiante 29044,Ingeniería de Sistemas,San Miguel,5.16
EST029045,Estudiante 29045,Contaduria,San Miguel,8.27
EST029046,Estudiante 29046,Ingeniería Industrial,San Salvador,5.14
EST029047,Estudiante 29047,Ingeniería Industrial,Santa Ana,5.41
EST029048,Estudiante 29048,Administracion,La Libertad,9.02
EST029049,Estudiante 29049,Ingeniería de Sistemas,Sonsonate,7.28
EST029050,Estudiante 29050,Administracion,La Libertad,8.6
EST029051,Estudiante 29051,Administracion,Santa Ana,6.75
EST029052,Estudiante 29052,Administracion,Sonsonate,9.65
EST029053,Estudiante 29053,Ingeniería de Sistemas,Sonsonate,7.06
EST029054,Estudiante 29054,Ingeniería de Sistemas,Santa Ana,7.33
EST029055,Estudiante 29055,Ingeniería Industrial,San Miguel,7.28
EST029056,Estudiante 29056,Arquitectura,La Libertad,7.06
EST029057,Estudiante 29057,Arquitectura,Santa Ana,8.76
EST029058,Estudiante 29058,Contaduria,Sonsonate,9.22
EST029059,Estudiante 29059,Administracion,Sonsonate,6.5
EST029060,Estudiante 29060,Administracion,Sonsonate,8.7
EST029061,Estudiante 29061,Administracion,Santa Ana,6.07
EST029062,Estudiante 29062,Ingeniería de Sistemas,Santa Ana,7.98
EST029063,Estudiante 29063,Contaduria,San Salvador,7.78
EST029064,Estudiante 29064,Arquitectura,San Salvador,5.43
EST029065,Estudiante 29065,Administracion,San Salvador,5.6
EST029066,Estudiante 29066,Ingeniería de Sistemas,Santa Ana,8.65
EST029067,Estudiante 29067,Arquitectura,Sonsonate,6.12
EST029068,Estudiante 29068,Arquitectura,San Salvador,7.3
EST029069,Estudiante 29069,Administracion,Sonsonate,7.93
EST029070,Estudiante 29070,Arquitectura,Sonsonate,6.36
EST029071,Estudiante 29071,Administracion,Santa Ana,6.79
EST029072,Estudiante 29072,Ingeniería de Sistemas,La Libertad,5.91
EST029073,Estudiante 29073,Administracion,La Libertad,7.56
EST029074,Estudiante 29074,Arquitectura,La Libertad,8.78
EST029075,Estudiante 29075,Administracion,San Salvador,8.49
EST029076,Estudiante 29076,Contaduria,San Miguel,5.06
EST029077,Estudiante 29077,Administracion,La Libertad,8.32
EST029078,Estudiante 29078,Administracion,La Libertad,8.54
EST029079,Estudiante 29079,Ingeniería de Sistemas,Sonsonate,7.9
EST029080,Estudiante 29080,Ingeniería Industrial,La Libertad,8.89
EST029081,Estudiante 29081,Contaduria,San Salvador,7.31
EST029082,Estudiante 29082,Administracion,San Salvador,6.99
EST029083,Estudiante 29083,Contaduria,Sonsonate,7.43
EST029084,Estudiante 29084,Arquitectura,San Miguel,5.29
EST029085,Estudiante 29085,Ingeniería de Sistemas,San Miguel,9.09
EST029086,Estudiante 29086,Arquitectura,San Salvador,6.59
EST029087,Estudiante 29087,Ingeniería de Sistemas,San Salvador,8.29
EST029088,Estudiante 29088,Arquitectura,San Miguel,5.3
EST029089,Estudiante 29089,Ingeniería de Sistemas,La Libertad,8.98
EST029090,Estudiante 29090,Administracion,San Salvador,7.03
EST029091,Estudiante 29091,Ingeniería de Sistemas,La Libertad,5.03
EST029092,Estudiante 29092,Arquitectura,San Salvador,5.91
EST029093,Estudiante 29093,Ingeniería de Sistemas,La Libertad,8.96
EST029094,Estudiante 29094,Contaduria,San Salvador,6.27
EST029095,Estudiante 29095,Administracion,Santa Ana,7.72
EST029096,Estudiante 29096,Ingeniería de Sistemas,Santa Ana,7.78
EST029097,Estudiante 29097,Ingeniería de Sistemas,San Salvador,8.99
EST029098,Estudiante 29098,Contaduria,Santa Ana,5.72
EST029099,Estudiante 29099,Arquitectura,San Miguel,7.51
EST029100,Estudiante 29100,Ingeniería de Sistemas,San Miguel,8.41
EST029101,Estudiante 29101,Arquitectura,San Salvador,5.33
EST029102,Estudiante 29102,Administracion,San Salvador,7.9
EST029103,Estudiante 29103,Ingeniería de Sistemas,Santa Ana,6.0
EST029104,Estudiante 29104,Ingeniería Industrial,Sonsonate,8.41
EST029105,Estudiante 29105,Ingeniería Industrial,San Salvador,9.63
EST029106,Estudiante 29106,Ingeniería Industrial,Santa Ana,9.18
EST029107,Estudiante 29107,Administracion,Sonsonate,8.81
EST029108,Estudiante 29108,Arquitectura,Sonsonate,6.98
EST029109,Estudiante 29109,Ingeniería de Sistemas,San Salvador,8.82
EST029110,Estudiante 29110,Administracion,San Miguel,5.41
EST029111,Estudiante 29111,Contaduria,Santa Ana,6.11
EST029112,Estudiante 29112,Arquitectura,San Salvador,8.05
EST029113,Estudiante 29113,Arquitectura,San Miguel,8.68
EST029114,Estudiante 29114,Arquitectura,Sonsonate,8.48
EST029115,Estudiante 29115,Administracion,Sonsonate,6.47
EST029116,Estudiante 29116,Administracion,La Libertad,7.58
EST029117,Estudiante 29117,Arquitectura,San Miguel,7.42
EST029118,Estudiante 29118,Ingeniería Industrial,San Salvador,7.66
EST029119,Estudiante 29119,Contaduria,San Salvador,7.79
EST029120,Estudiante 29120,Administracion,San Salvador,7.51
EST029121,Estudiante 29121,Administracion,San Miguel,5.95
EST029122,Estudiante 29122,Ingeniería Industrial,La Libertad,5.68
EST029123,Estudiante 29123,Contaduria,La Libertad,5.86
EST029124,Estudiante 29124,Ingeniería de Sistemas,San Miguel,6.44
EST029125,Estudiante 29125,Ingeniería de Sistemas,San Salvador,6.26
EST029126,Estudiante 29126,Ingeniería de Sistemas,La Libertad,7.3
EST029127,Estudiante 29127,Ingeniería Industrial,Santa Ana,7.66
EST029128,Estudiante 29128,Contaduria,Santa Ana,8.19
EST029129,Estudiante 29129,Ingeniería Industrial,San Miguel,7.75
EST029130,Estudiante 29130,Arquitectura,La Libertad,7.78
EST029131,Estudiante 29131,Administracion,San Miguel,8.02
EST029132,Estudiante 29132,Ingeniería Industrial,Santa Ana,9.7
EST029133,Estudiante 29133,Arquitectura,Sonsonate,6.85
EST029134,Estudiante 29134,Ingeniería Industrial,San Salvador,9.56
EST029135,Estudiante 29135,Contaduria,San Salvador,8.45
EST029136,Estudiante 29136,Ingeniería de Sistemas,La Libertad,8.96
EST029137,Estudiante 29137,Arquitectura,La Libertad,5.61
EST029138,Estudiante 29138,Administracion,Santa Ana,9.15
EST029139,Estudiante 29139,Ingeniería Industrial,Santa Ana,5.14
EST029140,Estudiante 29140,Contaduria,Sonsonate,8.41
EST029141,Estudiante 29141,Ingeniería Industrial,La Libertad,8.88
EST029142,Estudiante 29142,Ingeniería Industrial,La Libertad,5.24
EST029143,Estudiante 29143,Ingeniería de Sistemas,Santa Ana,9.28
EST029144,Estudiante 29144,Contaduria,San Miguel,9.08
EST029145,Estudiante 29145,Contaduria,San Miguel,7.43
EST029146,Estudiante 29146,Ingeniería Industrial,San Salvador,6.14
EST029147,Estudiante 29147,Arquitectura,San Miguel,10.0
EST029148,Estudiante 29148,Arquitectura,Sonsonate,9.76
EST029149,Estudiante 29149,Administracion,Santa Ana,6.73
EST029150,Estudiante 29150,Ingeniería Industrial,San Miguel,7.25
EST029151,Estudiante 29151,Arquitectura,San Miguel,7.47
EST029152,Estudiante 29152,Ingeniería de Sistemas,La Libertad,6.45
EST029153,Estudiante 29153,Contaduria,La Libertad,8.41
EST029154,Estudiante 29154,Administracion,San Salvador,8.24
EST029155,Estudiante 29155,Ingeniería de Sistemas,San Miguel,7.95
EST029156,Estudiante 29156,Ingeniería de Sistemas,San Salvador,9.38
EST029157,Estudiante 29157,Administracion,La Libertad,8.98
EST029158,Estudiante 29158,Ingeniería de Sistemas,La Libertad,5.37
EST029159,Estudiante 29159,Contaduria,Santa Ana,7.58
EST029160,Estudiante 29160,Arquitectura,San Salvador,7.69
EST029161,Estudiante 29161,Ingeniería Industrial,San Miguel,8.33
EST029162,Estudiante 29162,Arquitectura,La Libertad,6.33
EST029163,Estudiante 29163,Ingeniería de Sistemas,Santa Ana,5.06
EST029164,Estudiante 29164,Administracion,Sonsonate,9.05
EST029165,Estudiante 29165,Contaduria,Santa Ana,8.67
EST029166,Estudiante 29166,Contaduria,San Salvador,8.9
EST029167,Estudiante 29167,Ingeniería de Sistemas,San Salvador,7.78
EST029168,Estudiante 29168,Contaduria,La Libertad,8.91
EST029169,Estudiante 29169,Contaduria,Santa Ana,5.4
EST029170,Estudiante 29170,Contaduria,San Miguel,8.74
EST029171,Estudiante 29171,Ingeniería de Sistemas,Sonsonate,7.38
EST029172,Estudiante 29172,Ingeniería de Sistemas,San Miguel,7.15
EST029173,Estudiante 29173,Administracion,Santa Ana,8.19
EST029174,Estudiante 29174,Ingeniería de Sistemas,San Salvador,9.87
EST029175,Estudiante 29175,Administracion,La Libertad,8.27
EST029176,Estudiante 29176,Ingeniería de Sistemas,San Salvador,9.85
EST029177,Estudiante 29177,Ingeniería de Sistemas,San Salvador,8.74
EST029178,Estudiante 29178,Ingeniería Industrial,Santa Ana,6.89
EST029179,Estudiante 29179,Arquitectura,La Libertad,5.69
EST029180,Estudiante 29180,Contaduria,San Miguel,8.09
EST029181,Estudiante 29181,Contaduria,San Miguel,8.37
EST029182,Estudiante 29182,Contaduria,Sonsonate,8.67
EST029183,Estudiante 29183,Ingeniería de Sistemas,Sonsonate,7.1
EST029184,Estudiante 29184,Contaduria,La Libertad,6.3
EST029185,Estudiante 29185,Ingeniería Industrial,San Miguel,6.32
EST029186,Estudiante 29186,Contaduria,Santa Ana,6.48
EST029187,Estudiante 29187,Arquitectura,Santa Ana,6.43
EST029188,Estudiante 29188,Administracion,San Miguel,8.33
EST029189,Estudiante 29189,Arquitectura,Santa Ana,8.12
EST029190,Estudiante 29190,Ingeniería de Sistemas,San Salvador,8.82
EST029191,Estudiante 29191,Ingeniería de Sistemas,San Salvador,6.82
EST029192,Estudiante 29192,Ingeniería Industrial,Sonsonate,9.3
EST029193,Estudiante 29193,Arquitectura,Sonsonate,6.49
EST029194,Estudiante 29194,Ingeniería de Sistemas,Santa Ana,5.77
EST029195,Estudiante 29195,Ingeniería Industrial,San Salvador,6.44
EST029196,Estudiante 29196,Ingeniería de Sistemas,La Libertad,6.74
EST029197,Estudiante 29197,Arquitectura,Santa Ana,7.38
EST029198,Estudiante 29198,Ingeniería de Sistemas,Sonsonate,5.82
EST029199,Estudiante 29199,Arquitectura,La Libertad,6.94
EST029200,Estudiante 29200,Ingeniería de Sistemas,San Salvador,9.47
EST029201,Estudiante 29201,Ingeniería de Sistemas,La Libertad,5.32
EST029202,Estudiante 29202,Arquitectura,Sonsonate,7.93
EST029203,Estudiante 29203,Ingeniería Industrial,Santa Ana,8.93
EST029204,Estudiante 29204,Ingeniería de Sistemas,Santa Ana,7.18
EST029205,Estudiante 29205,Ingeniería Industrial,Santa Ana,5.18
EST029206,Estudiante 29206,Arquitectura,San Salvador,5.02
EST029207,Estudiante 29207,Contaduria,Sonsonate,5.83
EST029208,Estudiante 29208,Ingeniería de Sistemas,Santa Ana,7.16
EST029209,Estudiante 29209,Contaduria,Sonsonate,9.83
EST029210,Estudiante 29210,Administracion,Sonsonate,8.27
EST029211,Estudiante 29211,Arquitectura,La Libertad,8.52
EST029212,Estudiante 29212,Arquitectura,Sonsonate,8.26
EST029213,Estudiante 29213,Contaduria,La Libertad,6.49
EST029214,Estudiante 29214,Ingeniería de Sistemas,San Salvador,5.06
EST029215,Estudiante 29215,Contaduria,San Salvador,7.1
EST029216,Estudiante 29216,Ingeniería de Sistemas,San Miguel,8.01
EST029217,Estudiante 29217,Administracion,La Libertad,8.49
EST029218,Estudiante 29218,Contaduria,San Salvador,7.31
EST029219,Estudiante 29219,Contaduria,La Libertad,9.36
EST029220,Estudiante 29220,Ingeniería de Sistemas,San Miguel,7.7
EST029221,Estudiante 29221,Administracion,Sonsonate,8.66
EST029222,Estudiante 29222,Arquitectura,La Libertad,9.85
EST029223,Estudiante 29223,Arquitectura,San Salvador,8.33
EST029224,Estudiante 29224,Administracion,Sonsonate,6.23
EST029225,Estudiante 29225,Arquitectura,Sonsonate,5.68
EST029226,Estudiante 29226,Contaduria,San Miguel,5.82
EST029227,Estudiante 29227,Arquitectura,Santa Ana,9.92
EST029228,Estudiante 29228,Contaduria,San Salvador,7.78
EST029229,Estudiante 29229,Administracion,Sonsonate,7.41
EST029230,Estudiante 29230,Ingeniería de Sistemas,Sonsonate,8.1
EST029231,Estudiante 29231,Arquitectura,Sonsonate,5.12
EST029232,Estudiante 29232,Contaduria,La Libertad,8.4
EST029233,Estudiante 29233,Contaduria,Sonsonate,6.63
EST029234,Estudiante 29234,Ingeniería de Sistemas,Santa Ana,9.54
EST029235,Estudiante 29235,Arquitectura,La Libertad,9.6
EST029236,Estudiante 29236,Contaduria,San Miguel,8.44
EST029237,Estudiante 29237,Arquitectura,San Salvador,9.22
EST029238,Estudiante 29238,Ingeniería de Sistemas,La Libertad,5.27
EST029239,Estudiante 29239,Ingeniería de Sistemas,San Miguel,8.28
EST029240,Estudiante 29240,Contaduria,San Miguel,9.3
EST029241,Estudiante 29241,Contaduria,San Salvador,6.1
EST029242,Estudiante 29242,Ingeniería de Sistemas,San Salvador,5.16
EST029243,Estudiante 29243,Ingeniería de Sistemas,Sonsonate,7.71
EST029244,Estudiante 29244,Administracion,Sonsonate,9.78
EST029245,Estudiante 29245,Arquitectura,San Salvador,8.96
EST029246,Estudiante 29246,Arquitectura,San Miguel,7.89
EST029247,Estudiante 29247,Ingeniería Industrial,San Salvador,9.23
EST029248,Estudiante 29248,Ingeniería Industrial,San Miguel,7.09
EST029249,Estudiante 29249,Administracion,Santa Ana,6.84
EST029250,Estudiante 29250,Contaduria,Sonsonate,8.58
EST029251,Estudiante 29251,Administracion,La Libertad,8.27
EST029252,Estudiante 29252,Contaduria,Santa Ana,8.33
EST029253,Estudiante 29253,Ingeniería Industrial,Sonsonate,8.96
EST029254,Estudiante 29254,Contaduria,San Miguel,5.96
EST029255,Estudiante 29255,Arquitectura,La Libertad,7.52
EST029256,Estudiante 29256,Ingeniería de Sistemas,Santa Ana,6.25
EST029257,Estudiante 29257,Contaduria,Sonsonate,6.97
EST029258,Estudiante 29258,Contaduria,Sonsonate,7.77
EST029259,Estudiante 29259,Arquitectura,La Libertad,9.92
EST029260,Estudiante 29260,Contaduria,La Libertad,9.98
EST029261,Estudiante 29261,Ingeniería Industrial,Santa Ana,6.36
EST029262,Estudiante 29262,Ingeniería Industrial,La Libertad,9.11
EST029263,Estudiante 29263,Arquitectura,San Miguel,9.29
EST029264,Estudiante 29264,Administracion,La Libertad,7.72
EST029265,Estudiante 29265,Administracion,Sonsonate,7.0
EST029266,Estudiante 29266,Contaduria,Santa Ana,8.94
EST029267,Estudiante 29267,Ingeniería de Sistemas,Santa Ana,6.28
EST029268,Estudiante 29268,Arquitectura,Santa Ana,7.82
EST029269,Estudiante 29269,Arquitectura,La Libertad,5.49
EST029270,Estudiante 29270,Arquitectura,Santa Ana,8.01
EST029271,Estudiante 29271,Administracion,La Libertad,5.21
EST029272,Estudiante 29272,Arquitectura,Santa Ana,9.39
EST029273,Estudiante 29273,Arquitectura,Sonsonate,8.1
EST029274,Estudiante 29274,Administracion,La Libertad,6.63
EST029275,Estudiante 29275,Contaduria,Sonsonate,5.13
EST029276,Estudiante 29276,Administracion,Sonsonate,9.25
EST029277,Estudiante 29277,Ingeniería de Sistemas,La Libertad,9.3
EST029278,Estudiante 29278,Ingeniería Industrial,San Salvador,5.34
EST029279,Estudiante 29279,Ingeniería Industrial,San Salvador,7.39
EST029280,Estudiante 29280,Ingeniería Industrial,La Libertad,7.48
EST029281,Estudiante 29281,Ingeniería de Sistemas,La Libertad,9.44
EST029282,Estudiante 29282,Contaduria,Sonsonate,5.61
EST029283,Estudiante 29283,Ingeniería de Sistemas,San Miguel,8.48
EST029284,Estudiante 29284,Administracion,La Libertad,7.38
EST029285,Estudiante 29285,Arquitectura,La Libertad,9.74
EST029286,Estudiante 29286,Ingeniería de Sistemas,San Miguel,5.07
EST029287,Estudiante 29287,Ingeniería Industrial,Sonsonate,6.28
EST029288,Estudiante 29288,Contaduria,San Miguel,5.7
